date,close,open,high,low,volume,change
2024-02-01,2054.09,2037.59,2065.42,2029.55,,0.83%
2024-02-02,2038.59,2055.09,2058.20,2027.45,,-0.75%
2024-02-05,2024.67,2039.91,2042.32,2014.40,,-0.68%
2024-02-06,2035.46,2024.99,2039.02,2022.55,,0.53%
2024-02-07,2034.22,2035.90,2044.65,2030.65,,-0.06%
2024-02-08,2033.18,2034.55,2038.94,2019.75,,-0.05%
2024-02-09,2024.16,2033.65,2037.44,2020.30,,-0.44%
2024-02-12,2019.79,2024.53,2028.09,2011.91,,-0.22%
2024-02-13,1992.13,2019.90,2030.05,1990.19,,-1.37%
2024-02-14,1992.39,1992.55,1996.14,1984.30,,0.01%
2024-02-15,2004.09,1992.69,2008.49,1990.25,,0.59%
2024-02-16,2013.10,2004.40,2015.25,1995.26,,0.45%
2024-02-20,2023.53,2017.99,2030.96,2015.02,,0.29%
2024-02-21,2024.99,2023.80,2032.22,2020.19,,0.07%
2024-02-22,2024.11,2025.24,2034.84,2019.70,,-0.04%
2024-02-23,2035.72,2024.49,2041.43,2015.55,,0.57%
2024-02-26,2030.66,2034.49,2037.59,2025.10,,-0.25%
2024-02-27,2029.64,2030.99,2039.99,2028.78,,-0.05%
2024-02-28,2034.62,2030.05,2038.30,2024.56,,0.25%
2024-02-29,2043.24,2034.92,2050.79,2027.75,,0.42%
2024-03-01,2083.39,2043.44,2088.40,2038.55,,1.96%
2024-03-04,2114.99,2082.09,2119.95,2079.45,,1.52%
2024-03-05,2127.55,2115.15,2142.15,2110.52,,0.59%
2024-03-06,2148.29,2127.95,2152.29,2123.65,,0.98%
2024-03-07,2159.16,2148.54,2164.54,2144.29,,0.51%
2024-03-08,2177.51,2159.40,2195.20,2154.08,,0.85%
2024-03-11,2182.47,2177.71,2189.04,2174.80,,0.23%
2024-03-12,2157.99,2183.00,2184.86,2150.59,,-1.12%
2024-03-13,2174.40,2158.25,2179.91,2155.54,,0.76%
2024-03-14,2161.01,2174.29,2177.10,2152.86,,-0.62%
2024-03-15,2155.54,2162.40,2173.25,2155.19,,-0.25%
2024-03-18,2159.99,2156.00,2163.64,2146.05,,0.21%
2024-03-19,2157.23,2160.70,2162.93,2146.90,,-0.13%
2024-03-20,2185.96,2158.29,2188.90,2149.60,,1.33%
2024-03-21,2180.81,2186.00,2222.90,2166.50,,-0.24%
2024-03-22,2164.15,2181.50,2186.25,2157.15,,-0.76%
2024-03-25,2171.45,2165.79,2181.30,2163.50,,0.34%
2024-03-26,2178.58,2171.82,2200.15,2167.75,,0.33%
2024-03-27,2194.02,2179.03,2197.71,2173.59,,0.71%
2024-03-28,2232.38,2194.19,2235.90,2187.33,,1.75%
2024-04-01,2250.36,2239.59,2265.86,2228.54,,0.81%
2024-04-02,2280.10,2250.88,2281.17,2246.79,,1.32%
2024-04-03,2299.17,2279.57,2301.22,2265.50,,0.84%
2024-04-04,2289.43,2299.62,2305.31,2280.15,,-0.42%
2024-04-05,2329.50,2289.88,2330.34,2267.85,,1.75%
2024-04-08,2338.89,2322.00,2354.09,2302.86,,0.40%
2024-04-09,2352.58,2339.24,2365.34,2336.94,,0.59%
2024-04-10,2332.79,2352.91,2360.15,2319.54,,-0.84%
2024-04-11,2373.24,2333.17,2377.80,2325.84,,1.73%
2024-04-12,2343.43,2373.59,2431.53,2333.90,,-1.26%
2024-04-15,2382.51,2343.86,2387.59,2324.59,,1.67%
2024-04-16,2382.83,2382.86,2398.34,2362.95,,0.01%
2024-04-17,2360.81,2383.20,2395.63,2354.84,,-0.92%
2024-04-18,2378.25,2360.74,2392.84,2360.70,,0.74%
2024-04-19,2390.45,2378.60,2417.79,2372.96,,0.51%
2024-04-22,2326.29,2388.20,2388.72,2325.29,,-2.68%
2024-04-23,2321.81,2326.62,2334.48,2291.40,,-0.19%
2024-04-24,2315.82,2322.19,2337.16,2311.90,,-0.26%
2024-04-25,2331.78,2316.20,2344.86,2305.28,,0.69%
2024-04-26,2337.72,2332.16,2352.62,2326.30,,0.25%
2024-04-29,2334.44,2337.50,2346.85,2320.08,,-0.14%
2024-04-30,2284.57,2335.10,2336.54,2284.94,,-2.14%
2024-05-01,2317.88,2285.91,2328.40,2281.66,,1.46%
2024-05-02,2303.29,2319.89,2326.57,2285.58,,-0.63%
2024-05-03,2301.56,2303.20,2321.64,2277.47,,-0.08%
2024-05-06,2326.15,2293.98,2331.98,2291.91,,1.07%
2024-05-07,2315.20,2326.31,2329.98,2310.10,,-0.47%
2024-05-08,2309.05,2315.40,2321.43,2303.74,,-0.27%
