date,close,open,high,low,volume,change
2023-01-02,80.53,80.59,80.62,80.25,,-0.02%
2023-01-03,77.14,80.53,81.55,76.70,,-4.21%
2023-01-04,73.42,77.15,77.44,72.82,,-4.82%
2023-01-05,74.02,73.42,74.98,72.52,,0.82%
2023-01-06,73.75,74.00,75.50,73.31,,-0.36%
2023-01-08,74.14,73.67,74.18,73.67,,0.53%
2023-01-09,74.73,74.13,76.75,74.10,,0.80%
2023-01-10,74.62,74.75,75.95,73.89,,-0.15%
2023-01-11,77.73,74.61,77.84,74.33,,4.17%
2023-01-12,78.36,77.75,79.18,77.14,,0.81%
2023-01-13,80.11,78.38,80.14,78.00,,2.23%
2023-01-15,79.84,80.25,80.25,79.83,,-0.34%
2023-01-16,78.84,79.83,79.98,78.62,,-1.25%
2023-01-17,80.75,78.83,81.30,78.77,,2.42%
2023-01-18,79.25,80.75,82.45,79.04,,-1.86%
2023-01-19,80.83,79.23,81.29,78.28,,1.99%
2023-01-20,81.53,80.81,81.71,79.75,,0.87%
2023-01-22,81.06,81.61,81.72,81.00,,-0.58%
2023-01-23,81.44,81.08,82.44,80.91,,0.47%
2023-01-24,80.02,81.45,82.06,79.50,,-1.74%
2023-01-25,80.36,80.01,81.04,79.31,,0.42%
2023-01-26,81.00,80.39,81.97,79.78,,0.80%
2023-01-27,79.27,80.98,82.33,78.92,,-2.14%
2023-01-29,80.20,79.91,80.36,79.75,,1.17%
2023-01-30,77.83,80.22,80.31,77.55,,-2.96%
2023-01-31,79.03,77.83,79.12,76.44,,1.54%
2023-02-01,76.70,79.00,79.61,75.94,,-2.95%
2023-02-02,75.86,76.69,77.14,74.87,,-1.10%
2023-02-03,73.10,75.88,77.89,73.02,,-3.64%
2023-02-05,73.39,73.16,73.59,73.14,,0.40%
2023-02-06,74.44,73.39,74.53,72.18,,1.43%
2023-02-07,77.45,74.42,77.54,74.28,,4.04%
2023-02-08,78.42,77.44,78.49,77.05,,1.25%
2023-02-09,77.61,78.42,78.75,76.47,,-1.03%
2023-02-10,79.68,77.61,80.25,77.42,,2.67%
2023-02-12,79.31,79.81,79.94,79.19,,-0.46%
2023-02-13,79.19,79.30,80.56,78.41,,-0.15%
2023-02-14,78.79,79.17,79.58,77.44,,-0.51%
2023-02-15,78.55,78.78,79.14,77.27,,-0.30%
2023-02-16,77.84,78.56,79.53,77.78,,-0.90%
2023-02-17,76.31,77.83,78.28,75.12,,-1.97%
2023-02-19,76.48,76.52,76.64,76.34,,0.22%
2023-02-20,77.11,76.50,77.55,76.14,,0.82%
2023-02-21,76.05,77.11,77.44,75.73,,-1.37%
2023-02-22,73.80,76.03,76.38,73.64,,-2.96%
2023-02-23,75.47,73.78,75.81,73.72,,2.26%
2023-02-24,76.31,75.47,76.45,73.95,,1.11%
2023-02-26,76.50,76.30,76.61,76.30,,0.25%
2023-02-27,75.60,76.48,76.66,74.86,,-1.18%
2023-02-28,76.53,75.61,77.67,75.42,,1.23%
2023-03-01,77.52,76.53,77.69,76.00,,1.29%
2023-03-02,77.81,77.50,78.46,77.11,,0.37%
2023-03-03,79.75,77.83,79.77,75.73,,2.49%
2023-03-05,79.28,79.59,79.64,79.23,,-0.59%
2023-03-06,80.42,79.30,80.52,78.23,,1.44%
2023-03-07,77.16,80.39,80.83,76.97,,-4.05%
2023-03-08,76.48,77.17,77.64,76.03,,-0.88%
2023-03-09,75.38,76.47,77.96,75.28,,-1.44%
2023-03-10,76.57,75.36,77.03,74.70,,1.58%
2023-03-12,77.03,76.30,77.41,76.14,,0.60%
2023-03-13,74.53,77.03,77.17,72.28,,-3.25%
2023-03-14,71.77,74.52,74.84,70.75,,-3.70%
2023-03-15,68.16,71.75,72.50,65.66,,-5.03%
2023-03-16,68.31,68.16,69.31,65.75,,0.22%
2023-03-17,66.36,68.28,69.25,66.36,,-2.85%
2023-03-20,67.47,66.11,67.72,65.69,,1.67%
2023-03-21,69.31,67.48,69.58,66.75,,2.73%
2023-03-22,69.92,69.31,71.14,68.73,,0.88%
2023-03-23,69.39,69.89,71.50,69.03,,-0.76%
2023-03-24,69.10,69.38,70.22,66.69,,-0.42%
2023-03-26,69.55,69.42,69.78,69.42,,0.65%
2023-03-27,72.88,69.53,72.95,69.00,,4.79%
2023-03-28,73.61,72.89,73.79,72.08,,1.00%
2023-03-29,72.77,73.62,74.22,72.65,,-1.14%
2023-03-30,74.25,72.78,74.47,72.50,,2.03%
2023-03-31,75.57,74.25,75.58,73.67,,1.78%
2023-04-02,80.39,80.67,81.56,79.92,,6.38%
2023-04-03,80.36,80.42,80.83,78.89,,-0.04%
2023-04-04,80.86,80.34,81.67,79.52,,0.62%
