date,close,open,high,low
2023-11-13,15482.79,15469.21,15524.66,15404.71
2023-11-14,15812.47,15744.36,15850.34,15726.12
2023-11-15,15817.18,15881.72,15904.63,15765.31
2023-11-16,15833.17,15765.2,15842.63,15738.22
2023-11-17,15837.99,15803.98,15876.87,15766.94
2023-11-20,16027.06,15845.2,16056.76,15844.83
2023-11-21,15933.62,15951.55,15968.09,15866.82
2023-11-22,16001.39,16025.74,16119.31,15964.04
2023-11-24,15982.01,15974.85,16007.43,15940.62
2023-11-27,15961.98,15969.72,16045.3,15932.19
2023-11-28,16010.43,15940.29,16031.52,15921.07
2023-11-29,15987.6,16111.36,16166.51,15976.69
2023-11-30,15947.87,15987.66,16013.48,15825.67
2023-12-01,15997.58,15892.59,16013.75,15834.93
2023-12-04,15839.67,15837.12,15852.45,15695.58
2023-12-05,15877.71,15763.65,15931.84,15760.59
2023-12-06,15788.05,15990.2,15990.94,15776.95
2023-12-07,16022.49,15888.23,16042.51,15875.48
2023-12-08,16084.69,15952.85,16100.86,15937.58
2023-12-11,16221.73,16069.61,16232.26,16061.87
2023-12-12,16354.25,16209.61,16354.25,16175.46
2023-12-13,16562.37,16392.18,16581.04,16357.21
2023-12-14,16537.83,16603.54,16660.71,16419.26
2023-12-15,16623.45,16587.0,16669.77,16557.01
2023-12-18,16729.8,16631.11,16764.32,16629.29
2023-12-19,16811.85,16734.25,16813.01,16733.38
2023-12-20,16554.16,16763.64,16860.68,16552.06
2023-12-21,16757.41,16719.61,16768.02,16621.52
2023-12-22,16777.4,16799.02,16839.25,16703.57
2023-12-26,16878.46,16816.78,16907.51,16813.57
2023-12-27,16906.8,16896.14,16922.01,16859.55
2023-12-28,16898.47,16963.52,16969.17,16891.32
2023-12-29,16825.93,16902.44,16919.51,16757.89
2024-01-02,16543.94,16667.3,16686.6,16453.15
2024-01-03,16368.49,16413.26,16471.08,16352.14
2024-01-04,16282.01,16290.77,16419.44,16276.43
2024-01-05,16305.98,16281.74,16415.39,16249.19
2024-01-08,16649.87,16354.22,16655.23,16349.39
2024-01-09,16678.7,16531.96,16710.88,16513.73
2024-01-10,16793.05,16702.55,16827.37,16654.74
2024-01-11,16820.9,16852.19,16898.16,16618.86
2024-01-12,16832.92,16855.0,16900.37,16776.92
2024-01-16,16830.71,16775.1,16895.33,16726.59
2024-01-17,16736.28,16705.51,16749.11,16561.49
2024-01-18,16982.29,16894.33,16996.98,16818.13
2024-01-19,17314.0,17060.14,17317.21,17041.85
2024-01-22,17330.38,17403.62,17450.3,17309.87
2024-01-23,17404.21,17346.95,17410.86,17286.02
2024-01-24,17499.3,17562.32,17665.26,17481.97
2024-01-25,17516.99,17589.27,17631.34,17430.37
2024-01-26,17421.01,17432.87,17514.76,17395.54
2024-01-29,17596.27,17438.03,17603.95,17414.62
2024-01-30,17476.71,17596.27,17578.46,17443.77
2024-01-31,17137.24,17269.98,17375.32,17128.74
2024-02-01,17344.71,17216.99,17356.76,17175.83
2024-02-02,17642.73,17415.94,17682.29,17378.37
2024-02-05,17613.04,17634.69,17655.77,17469.62
2024-02-06,17572.73,17664.44,17680.62,17475.43
