date,open,high,low,close,adj-close,volume
2024-02-01,103.510002,103.809998,103.019997,103.050003,103.050003,0
2024-02-02,102.989998,104.040001,102.900002,103.919998,103.919998,0
2024-02-05,103.989998,104.599998,103.989998,104.449997,104.449997,0
2024-02-06,104.440002,104.589996,104.139999,104.180000,104.180000,0
2024-02-07,104.150002,104.169998,103.940002,104.040001,104.040001,0
2024-02-08,104.029999,104.430000,103.959999,104.150002,104.150002,0
2024-02-09,104.139999,104.260002,103.949997,104.080002,104.080002,0
2024-02-12,104.080002,104.279999,103.900002,104.169998,104.169998,0
2024-02-13,104.180000,104.959999,103.970001,104.959999,104.959999,0
2024-02-14,104.839996,104.980003,104.660004,104.720001,104.720001,0
2024-02-15,104.660004,104.709999,104.180000,104.300003,104.300003,0
2024-02-16,104.300003,104.669998,104.169998,104.300003,104.300003,0
2024-02-20,104.320000,104.410004,103.800003,104.080002,104.080002,0
2024-02-21,104.040001,104.209999,103.940002,104.010002,104.010002,0
2024-02-22,103.910004,104.129997,103.430000,103.959999,103.959999,0
2024-02-23,103.949997,104.050003,103.769997,103.940002,103.940002,0
2024-02-26,103.959999,104.019997,103.709999,103.830002,103.830002,0
2024-02-27,103.779999,103.919998,103.610001,103.830002,103.830002,0
2024-02-28,103.839996,104.239998,103.809998,103.980003,103.980003,0
2024-02-29,103.919998,104.199997,103.660004,104.160004,104.160004,0
2024-03-01,104.129997,104.290001,103.839996,103.860001,103.860001,0
2024-03-04,103.889999,103.959999,103.730003,103.830002,103.830002,0
2024-03-05,103.849998,103.949997,103.580002,103.800003,103.800003,0
2024-03-06,103.809998,103.889999,103.199997,103.370003,103.370003,0
2024-03-07,103.309998,103.349998,102.800003,102.820000,102.820000,0
2024-03-08,102.730003,102.900002,102.360001,102.739998,102.739998,0
2024-03-11,102.739998,102.930000,102.639999,102.870003,102.870003,0
2024-03-12,102.820000,103.180000,102.720001,102.959999,102.959999,0
2024-03-13,102.930000,103.019997,102.669998,102.790001,102.790001,0
2024-03-14,102.760002,103.400002,102.739998,103.360001,103.360001,0
2024-03-15,103.389999,103.489998,103.300003,103.430000,103.430000,0
2024-03-18,103.449997,103.650002,103.339996,103.580002,103.580002,0
2024-03-19,103.589996,104.059998,103.580002,103.809998,103.809998,0
2024-03-20,103.839996,104.150002,103.379997,103.410004,103.410004,0
2024-03-21,103.239998,104.050003,103.169998,104.000000,104.000000,0
2024-03-22,103.989998,104.500000,103.919998,104.430000,104.430000,0
2024-03-25,104.430000,104.480003,104.139999,104.230003,104.230003,0
2024-03-26,104.220001,104.339996,104.010002,104.290001,104.290001,0
2024-03-27,104.300003,104.459999,104.220001,104.349998,104.349998,0
2024-03-28,104.440002,104.730003,104.309998,104.550003,104.550003,0
2024-04-01,104.489998,105.080002,104.419998,105.019997,105.019997,0
2024-04-02,105.000000,105.099998,104.680000,104.820000,104.820000,0
2024-04-03,104.769997,104.839996,104.230003,104.250000,104.250000,0
2024-04-04,104.230003,104.260002,103.919998,104.120003,104.120003,0
2024-04-05,104.209999,104.690002,104.139999,104.300003,104.300003,0
2024-04-08,104.290001,104.440002,104.099998,104.139999,104.139999,0
2024-04-09,104.120003,104.199997,103.879997,104.150002,104.150002,0
2024-04-10,104.099998,105.300003,104.019997,105.250000,105.250000,0
2024-04-11,105.180000,105.529999,105.029999,105.279999,105.279999,0
2024-04-12,105.279999,106.110001,105.239998,106.040001,106.040001,0
2024-04-15,106.010002,106.250000,105.839996,106.209999,106.209999,0
2024-04-16,106.169998,106.519997,106.070000,106.260002,106.260002,0
2024-04-17,106.330002,106.440002,105.870003,105.949997,105.949997,0
2024-04-18,105.930000,106.180000,105.739998,106.150002,106.150002,0
2024-04-19,106.190002,106.349998,105.849998,106.150002,106.150002,0
2024-04-22,106.120003,106.400002,105.980003,106.080002,106.080002,0
2024-04-23,106.120003,106.239998,105.610001,105.690002,105.690002,0
2024-04-24,105.690002,105.949997,105.589996,105.860001,105.860001,0
2024-04-25,105.820000,106.000000,105.510002,105.599998,105.599998,0
2024-04-26,105.580002,106.190002,105.410004,105.940002,105.940002,0
2024-04-29,106.080002,106.080002,105.459999,105.580002,105.580002,0
2024-04-30,105.669998,106.349998,105.669998,106.220001,106.220001,0
2024-05-01,106.320000,106.489998,105.440002,105.760002,105.760002,0
2024-05-02,105.730003,105.900002,105.300003,105.300003,105.300003,0
2024-05-03,105.309998,105.370003,104.519997,105.029999,105.029999,0
2024-05-06,105.080002,105.199997,104.870003,105.050003,105.050003,0
2024-05-07,105.139999,105.449997,105.029999,105.410004,105.410004,0
2024-05-08,105.419998,105.639999,105.389999,105.550003,105.550003,0
2024-05-09,105.519997,105.739998,105.209999,105.230003,105.230003,0
2024-05-10,105.205002,105.402000,105.140999,105.314003,105.314003,0
